"","MDS1","MDS2"
"1",0.43670162609024,-0.653696186035098
"2",-0.0511625662778853,-0.52590880155332
"3",0.413974338760564,-0.555520990857486
"4",-0.134984220266708,-0.350244513908792
"5",0.607474216401149,-0.134694637936719
"6",-0.129009659735023,-0.365788681098483
"7",-0.00647236483572198,-0.619724321435371
"8",-0.23225669260143,-0.164449509489252
"9",0.447794741174707,-0.530308322735094
"10",-0.143229623649783,-0.337035680454888
"11",-0.108192170212615,-0.40990558018585
"12",0.410275221219318,-0.416553986369906
"13",0.34823283915661,-0.553729748209392
"14",0.234929790915601,-0.541310392870915
"15",0.00942318472601722,-0.640710520581514
"16",0.0122898530800599,-0.647794627513814
"17",0.240801534587674,-0.501322136954924
"18",0.0472435650975795,-0.726641630054029
"19",-0.107438866021542,-0.411917059627149
"20",-0.0266552726547153,-0.577253036388362
"21",0.243756765955368,-0.30328699023154
"22",0.407159198439165,-0.42583543079233
"23",-0.100267511078368,-0.428313894002267
"24",0.585171583990155,-0.48937771485921
"25",0.45121441591755,-0.493821666854347
"26",0.297125014330325,-0.321463029390894
"27",0.887465068198749,-0.136096637266808
"28",-0.126769404217429,-0.373206500613418
"29",0.306623018642334,-0.430161075797144
"30",0.417364272474013,-0.491836284486723
"31",0.540698530049313,-0.475589493746712
"32",0.107927841004153,-1.17604675259126
"33",0.197570826503145,-0.362868561235724
"34",-0.0367385217015032,-0.551147571264081
"35",0.510944654659911,-0.907277024870315
"36",-0.101612673539597,-0.423806551260585
"37",-0.0805870408546643,-0.462770945574693
"38",0.357991693167068,-0.326742343048027
"39",-0.106391891392512,-0.414333023795062
"40",-0.126769404217429,-0.373206500613418
"41",-0.207519261532338,-0.203547905681498
"42",-0.233360576968498,-0.161444564716079
"43",-0.232989990924638,-0.162612367872699
"44",-0.263144287472352,-0.103813589765366
"69",0.707773535258468,0.179347948340397
"70",-0.209910589413598,-0.198153932494679
"71",-0.166515207317445,-0.291365562090301
"72",-0.252942973345717,-0.122035231580321
"73",-0.340582821958311,0.0064465500816523
"74",0.204394983625113,0.293621589214402
"75",1.5406837734697,0.0590146351027175
"76",-0.201210664006964,-0.217810924798496
"77",-0.147849295320242,-0.33012669819761
"78",0.70790938532152,-0.0237301833628107
"79",-0.127924881091518,-0.370224282898498
"80",-0.245596297445831,-0.137382318512064
"81",-0.16832578601009,-0.28687491434703
"82",0.426834519376369,-0.0734623975007117
"83",0.73086464989343,-0.0628676537864108
"84",-0.187568002843307,-0.242601837737096
"85",-0.263144287472352,-0.103813589765366
"86",0.125338565188873,-0.0902515243043923
"87",-0.315144619843385,-0.0240068990903742
"88",-0.27302253977084,-0.0817759672632658
"89",-0.186777709670039,-0.245294974121715
"90",0.0678743763566362,-0.293499569179221
"91",-0.25397485736277,-0.119884507031171
"92",0.0448677640498476,0.00245976882070972
"93",-0.108555303923011,-0.40776527170002
"94",-0.194696137844201,-0.232745336550119
"95",-0.16282590936035,-0.301119352968049
"96",-0.128528552203212,-0.366834243209679
"97",-0.0825543181208555,-0.46098923528835
"98",0.677922695049123,0.0470068869907579
"99",-0.105505328604024,-0.416811054844103
"100",-0.0992864674416272,-0.429719152325284
"101",0.831865518729056,-0.37342398472601
"102",-0.142552449419227,-0.338867895023592
"103",0.615354458832654,-0.16136302949184
"104",-0.047138695989595,-0.535320257836838
"105",-0.080061823279339,-0.463893265171269
"106",-0.143945669687014,-0.334692649711188
"107",-0.0541297830411048,-0.520098670817665
"108",0.712313219234222,0.140367506620347
"109",0.487718296828113,-0.0534250445968813
"110",0.243436260092056,-0.0475198630109652
"111",-0.115475610433832,-0.395562119979045
"112",-0.047138695989595,-0.535320257836838
"113",-0.0350136292622748,-0.555380726925924
"114",0.312880110135923,0.0042253803880212
"115",0.206671061345245,-0.173653434572615
"116",-0.131200060760546,-0.362331085795882
"141",0.452033243359864,-0.439043615648254
"142",0.146396009336948,-0.295903472091642
"143",0.452963494112847,-0.497011714097916
"144",0.245486113068106,-0.261174837035167
"145",0.383146730103725,-0.298930811145157
"146",0.102764651394582,-0.0864729203921378
"147",0.789836253327497,0.0428298206843902
"148",0.0782724227309138,0.125064409337659
"149",0.434607854605363,-0.441844016043195
"150",0.291624365879052,-0.313738859571322
"151",-0.209910589413598,-0.198153932494679
"152",0.416818568571535,-0.357649200273244
"153",0.238615853281346,-0.393588116425359
"154",0.14994444077061,-0.251248610661096
"155",0.337573976133668,-0.282990586096211
"156",-0.163832759820647,-0.298692549773334
"157",0.340570149554787,-0.592482445408346
"158",-0.0318696458293092,-0.56362697872288
"159",-0.0128565728578722,-0.60568158338099
"160",0.305592143247021,-0.294947293819141
"161",-0.183501484189157,-0.252392035069522
"162",0.554093109327945,-0.419791240375198
"163",0.284254828870812,-0.451088946295364
"164",0.366246997625678,-0.532503817024919
"165",-0.187568002843307,-0.242601837737096
"166",-0.199999692370269,-0.220667772612713
"167",-0.174665712329224,-0.273903779495881
"168",-0.239462343445365,-0.151169400853013
"169",0.316508785053962,-0.385617891252738
"170",-0.190434219376064,-0.238166419701077
"171",-0.133705641379654,-0.354260753666167
"172",-0.133705641379654,-0.354260753666167
"173",0.280328049823788,-0.530331485684303
"174",-0.208843504928858,-0.200083531043875
"175",-0.0318696458293092,-0.56362697872288
"176",-0.12046579935228,-0.385715990538775
"177",0.205033533820161,-0.198183860666939
"178",-0.171518162863929,-0.281745593555845
"179",0.256450553611571,0.147075557740675
"180",0.203250842215652,-0.412744382640218
"181",-0.185731078894787,-0.248160269783611
