"Plot Title: Chute-1"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10643647, SEN S/N: 10643647)","Intensity, Lux (LGR S/N: 10643647, SEN S/N: 10643647)","Stopped (LGR S/N: 10643647, SEN S/N: 10643647)","End Of File (LGR S/N: 10643647, SEN S/N: 10643647)"
1,07/15/16 01:59:57 PM,24.738,0.0,,
2,07/15/16 02:00:01 PM,,,Logged,Logged
