"Plot Title: Chute-3"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10641660, SEN S/N: 10641660)","Intensity, Lux (LGR S/N: 10641660, SEN S/N: 10641660)","Stopped (LGR S/N: 10641660, SEN S/N: 10641660)","End Of File (LGR S/N: 10641660, SEN S/N: 10641660)"
1,07/15/16 02:00:47 PM,24.835,0.0,,
2,07/15/16 02:00:52 PM,,,Logged,Logged
