"Plot Title: Salt2015-05-19"
"#","Date Time, GMT-07:00","Full Range, μS/cm (LGR S/N: 10395001, SEN S/N: 10395001)","Temp, °C (LGR S/N: 10395001, SEN S/N: 10395001)","Coupler Detached (LGR S/N: 10395001, SEN S/N: 10395001)","Coupler Attached (LGR S/N: 10395001, SEN S/N: 10395001)","Host Connected (LGR S/N: 10395001, SEN S/N: 10395001)","Stopped (LGR S/N: 10395001, SEN S/N: 10395001)","End Of File (LGR S/N: 10395001, SEN S/N: 10395001)"
1,05/19/15 08:00:00 AM,7.9,7.17,Logged,,,,
2,05/19/15 08:15:00 AM,7.8,15.24,,,,,
3,05/19/15 08:30:00 AM,7.8,28.48,,,,,
4,05/19/15 08:45:00 AM,17.2,28.78,,,,,
5,05/19/15 09:00:00 AM,7.8,28.48,,,,,
6,05/19/15 09:15:00 AM,7.8,24.12,,,,,
7,05/19/15 09:30:00 AM,7.8,26.04,,,,,
8,05/19/15 09:45:00 AM,7.7,35.48,,,,,
9,05/19/15 10:00:00 AM,7.7,35.15,,,,,
10,05/19/15 10:15:00 AM,7.7,31.34,,,,,
11,05/19/15 10:30:00 AM,2903.7,19.39,,,,,
12,05/19/15 10:45:00 AM,2891.1,19.46,,,,,
13,05/19/15 11:00:00 AM,2890.4,19.55,,,,,
14,05/19/15 11:15:00 AM,2897.9,19.68,,,,,
15,05/19/15 11:30:00 AM,2907.0,19.88,,,,,
16,05/19/15 11:45:00 AM,2913.0,20.07,,,,,
17,05/19/15 12:00:00 PM,2922.3,20.22,,,,,
18,05/19/15 12:15:00 PM,2927.2,20.36,,,,,
19,05/19/15 12:30:00 PM,2932.1,20.49,,,,,
20,05/19/15 12:45:00 PM,2934.0,20.57,,,,,
21,05/19/15 01:00:00 PM,2939.3,20.70,,,,,
22,05/19/15 01:15:00 PM,2945.3,20.91,,,,,
23,05/19/15 01:30:00 PM,2960.4,21.17,,,,,
24,05/19/15 01:45:00 PM,2972.4,21.43,,,,,
25,05/19/15 02:00:00 PM,2975.5,21.56,,,,,
26,05/19/15 02:15:00 PM,2978.7,21.67,,,,,
27,05/19/15 02:30:00 PM,2984.8,21.83,,,,,
28,05/19/15 02:45:00 PM,2985.5,21.89,,,,,
29,05/19/15 03:00:00 PM,2991.1,22.05,,,,,
30,05/19/15 03:15:00 PM,3001.5,22.27,,,,,
31,05/19/15 03:30:00 PM,3002.9,22.38,,,,,
32,05/19/15 03:45:00 PM,3001.9,22.40,,,,,
33,05/19/15 04:00:00 PM,3005.9,22.53,,,,,
34,05/19/15 04:15:00 PM,3002.9,22.52,,,,,
35,05/19/15 04:30:00 PM,3001.0,22.53,,,,,
36,05/19/15 04:45:00 PM,3006.8,22.66,,,,,
37,05/19/15 05:00:00 PM,3009.5,22.79,,,,,
38,05/19/15 05:15:00 PM,3012.3,22.89,,,,,
39,05/19/15 05:30:00 PM,3013.4,22.94,,,,,
40,05/19/15 05:45:00 PM,3012.0,22.95,,,,,
41,05/19/15 06:00:00 PM,3005.6,22.90,,,,,
42,05/19/15 06:15:00 PM,2998.8,22.82,,,,,
43,05/19/15 06:30:00 PM,2993.3,22.73,,,,,
44,05/19/15 06:45:00 PM,2979.3,22.57,,,,,
45,05/19/15 07:00:00 PM,2976.4,22.51,,,,,
46,05/19/15 07:15:00 PM,2968.2,22.44,,,,,
47,05/19/15 07:30:00 PM,2961.1,22.31,,,,,
48,05/19/15 07:45:00 PM,2951.0,22.17,,,,,
49,05/19/15 08:00:00 PM,2937.9,21.97,,,,,
50,05/19/15 08:15:00 PM,2921.9,21.73,,,,,
51,05/19/15 08:30:00 PM,2908.0,21.53,,,,,
52,05/19/15 08:45:00 PM,2896.6,21.37,,,,,
53,05/19/15 09:00:00 PM,2883.9,21.18,,,,,
54,05/19/15 09:15:00 PM,2872.5,21.01,,,,,
55,05/19/15 09:30:00 PM,2861.0,20.87,,,,,
56,05/19/15 09:45:00 PM,2853.9,20.75,,,,,
57,05/19/15 10:00:00 PM,2841.9,20.61,,,,,
58,05/19/15 10:15:00 PM,2833.1,20.48,,,,,
59,05/19/15 10:30:00 PM,2825.8,20.39,,,,,
60,05/19/15 10:45:00 PM,2818.1,20.31,,,,,
61,05/19/15 11:00:00 PM,2810.5,20.20,,,,,
62,05/19/15 11:15:00 PM,2801.5,20.10,,,,,
63,05/19/15 11:30:00 PM,2789.6,19.95,,,,,
64,05/19/15 11:45:00 PM,2782.1,19.82,,,,,
65,05/20/15 12:00:00 AM,2774.3,19.76,,,,,
66,05/20/15 12:15:00 AM,2769.6,19.71,,,,,
67,05/20/15 12:30:00 AM,2762.4,19.60,,,,,
68,05/20/15 12:45:00 AM,2752.6,19.48,,,,,
69,05/20/15 01:00:00 AM,2744.1,19.37,,,,,
70,05/20/15 01:15:00 AM,2736.9,19.26,,,,,
71,05/20/15 01:30:00 AM,2727.6,19.14,,,,,
72,05/20/15 01:45:00 AM,2721.1,19.09,,,,,
73,05/20/15 02:00:00 AM,2713.8,19.03,,,,,
74,05/20/15 02:15:00 AM,2710.8,18.99,,,,,
75,05/20/15 02:30:00 AM,2707.3,18.99,,,,,
76,05/20/15 02:45:00 AM,2702.5,18.96,,,,,
77,05/20/15 03:00:00 AM,2695.1,18.92,,,,,
78,05/20/15 03:15:00 AM,2690.0,18.85,,,,,
79,05/20/15 03:30:00 AM,2685.2,18.83,,,,,
80,05/20/15 03:45:00 AM,2680.0,18.80,,,,,
81,05/20/15 04:00:00 AM,2676.1,18.78,,,,,
82,05/20/15 04:15:00 AM,2670.5,18.74,,,,,
83,05/20/15 04:30:00 AM,2656.9,18.68,,,,,
84,05/20/15 04:45:00 AM,2660.1,18.65,,,,,
85,05/20/15 05:00:00 AM,2655.4,18.61,,,,,
