"Plot Title: Salt2015-06-25"
"#","Date Time, GMT-07:00","Full Range, μS/cm (LGR S/N: 10395001, SEN S/N: 10395001)","Temp, °C (LGR S/N: 10395001, SEN S/N: 10395001)","Coupler Detached (LGR S/N: 10395001, SEN S/N: 10395001)","Coupler Attached (LGR S/N: 10395001, SEN S/N: 10395001)","Host Connected (LGR S/N: 10395001, SEN S/N: 10395001)","Stopped (LGR S/N: 10395001, SEN S/N: 10395001)","End Of File (LGR S/N: 10395001, SEN S/N: 10395001)"
1,09/22/15 08:00:00 AM,7.8,18.95,Logged,,,,
2,09/22/15 08:15:00 AM,7.8,18.58,,,,,
3,09/22/15 08:30:00 AM,7.8,18.46,,,,,
4,09/22/15 08:45:00 AM,5.1,18.96,,,,,
5,09/22/15 09:00:00 AM,5.5,20.07,,,,,
6,09/22/15 09:15:00 AM,5.9,20.33,,,,,
7,09/22/15 09:30:00 AM,6.7,20.60,,,,,
8,09/22/15 09:45:00 AM,17.3,24.54,,,,,
9,09/22/15 10:00:00 AM,17.3,26.15,,,,,
10,09/22/15 10:15:00 AM,1488.7,20.74,,,,,
11,09/22/15 10:30:00 AM,1498.9,20.75,,,,,
12,09/22/15 10:45:00 AM,1501.3,20.83,,,,,
13,09/22/15 11:00:00 AM,1504.5,20.96,,,,,
14,09/22/15 11:15:00 AM,1508.2,21.08,,,,,
15,09/22/15 11:30:00 AM,1512.2,21.22,,,,,
16,09/22/15 11:45:00 AM,1516.3,21.37,,,,,
17,09/22/15 12:00:00 PM,1523.1,21.60,,,,,
18,09/22/15 12:15:00 PM,1527.5,21.79,,,,,
19,09/22/15 12:30:00 PM,1531.2,21.90,,,,,
20,09/22/15 12:45:00 PM,1532.7,21.98,,,,,
21,09/22/15 01:00:00 PM,1533.1,22.04,,,,,
22,09/22/15 01:15:00 PM,1533.9,22.09,,,,,
23,09/22/15 01:30:00 PM,1534.3,22.10,,,,,
24,09/22/15 01:45:00 PM,1534.6,22.17,,,,,
25,09/22/15 02:00:00 PM,1534.9,22.22,,,,,
26,09/22/15 02:15:00 PM,1535.2,22.30,,,,,
27,09/22/15 02:30:00 PM,1536.8,22.38,,,,,
28,09/22/15 02:45:00 PM,1539.6,22.49,,,,,
29,09/22/15 03:00:00 PM,1542.3,22.62,,,,,
30,09/22/15 03:15:00 PM,1541.9,22.65,,,,,
31,09/22/15 03:30:00 PM,1542.6,22.70,,,,,
32,09/22/15 03:45:00 PM,1541.4,22.70,,,,,
33,09/22/15 04:00:00 PM,1539.6,22.73,,,,,
34,09/22/15 04:15:00 PM,1540.0,22.77,,,,,
35,09/22/15 04:30:00 PM,1540.0,22.78,,,,,
36,09/22/15 04:45:00 PM,1539.5,22.81,,,,,
