Sample,Length,Month,Year,RKM
451307,284,4,2014,1.25
451308,383,4,2014,1.23
451308,295,4,2014,1.23
451309,219,4,2014,0.78
451309,95,4,2014,0.78
451311,238,4,2014,0.69
451311,237,4,2014,0.69
451311,96,4,2014,0.69
451313,90,4,2014,0.61
451315,95,4,2014,0.61
451316,121,4,2014,2.83
451317,265,4,2014,2.83
451317,305,4,2014,2.83
451317,242,4,2014,2.83
451318,260,4,2014,2.8
451318,333,4,2014,2.8
451318,258,4,2014,2.8
451318,172,4,2014,2.8
451318,201,4,2014,2.8
451318,259,4,2014,2.8
451319,322,4,2014,2.8
451320,173,4,2014,2.8
451322,155,4,2014,2.54
451324,134,4,2014,2.45
451325,114,4,2014,2.45
451326,242,4,2014,2.43
451326,112,4,2014,2.43
451328,260,4,2014,2.43
451328,282,4,2014,2.43
451328,217,4,2014,2.43
451328,220,4,2014,2.43
451328,287,4,2014,2.43
451328,209,4,2014,2.43
451328,190,4,2014,2.43
451328,181,4,2014,2.43
451328,242,4,2014,2.43
451328,157,4,2014,2.43
451328,118,4,2014,2.43
451330,315,4,2014,2.1
451330,157,4,2014,2.1
451331,325,4,2014,2.22
451331,240,4,2014,2.22
451331,217,4,2014,2.22
451333,284,4,2014,2.22
451333,230,4,2014,2.22
451334,114,4,2014,2.2
451335,283,4,2014,2.2
451335,148,4,2014,2.2
451336,110,4,2014,2.2
451336,228,4,2014,2.2
451336,123,4,2014,2.2
451336,137,4,2014,2.2
451337,97,4,2014,2.05
451337,350,4,2014,2.05
451337,93,4,2014,2.05
451337,95,4,2014,2.05
451338,325,4,2014,2.05
451338,228,4,2014,2.05
451338,291,4,2014,2.05
451338,300,4,2014,2.05
451338,288,4,2014,2.05
451338,285,4,2014,2.05
451338,215,4,2014,2.05
451338,235,4,2014,2.05
451338,182,4,2014,2.05
451338,165,4,2014,2.05
451340,128,4,2014,2.02
451341,158,4,2014,2.02
451341,105,4,2014,2.02
451341,128,4,2014,2.02
451342,263,4,2014,2.02
451342,155,4,2014,2.02
451342,172,4,2014,2.02
451342,190,4,2014,2.02
451342,174,4,2014,2.02
451342,153,4,2014,2.02
451342,195,4,2014,2.02
451342,145,4,2014,2.02
451342,143,4,2014,2.02
451343,169,4,2014,2.02
451344,311,4,2014,1.8
451344,237,4,2014,1.8
451344,247,4,2014,1.8
451344,246,4,2014,1.8
451344,102,4,2014,1.8
451345,148,4,2014,1.8
451347,302,4,2014,1.68
451347,258,4,2014,1.68
451347,277,4,2014,1.68
451347,172,4,2014,1.68
451348,322,4,2014,1.68
451348,195,4,2014,1.68
451349,219,4,2014,1.68
451349,217,4,2014,1.68
451352,288,4,2014,1.34
451352,254,4,2014,1.34
451352,312,4,2014,1.34
451352,259,4,2014,1.34
451352,294,4,2014,1.34
451352,249,4,2014,1.34
451352,211,4,2014,1.34
451352,142,4,2014,1.34
451352,115,4,2014,1.34
451352,289,4,2014,1.34
451352,221,4,2014,1.34
451352,242,4,2014,1.34
451352,213,4,2014,1.34
451352,285,4,2014,1.34
451352,120,4,2014,1.34
451352,154,4,2014,1.34
451352,122,4,2014,1.34
451352,148,4,2014,1.34
451352,110,4,2014,1.34
451352,105,4,2014,1.34
451352,155,4,2014,1.34
451352,115,4,2014,1.34
451352,120,4,2014,1.34
451352,105,4,2014,1.34
451352,104,4,2014,1.34
451353,215,4,2014,1.34
451353,275,4,2014,1.34
451353,249,4,2014,1.34
451353,219,4,2014,1.34
451353,105,4,2014,1.34
451353,118,4,2014,1.34
451353,98,4,2014,1.34
451353,159,4,2014,1.34
451353,103,4,2014,1.34
451353,112,4,2014,1.34
451353,123,4,2014,1.34
451353,210,4,2014,1.34
451354,268,4,2014,1.34
451354,263,4,2014,1.34
451354,332,4,2014,1.34
451354,278,4,2014,1.34
451354,324,4,2014,1.34
451354,290,4,2014,1.34
451354,320,4,2014,1.34
451354,280,4,2014,1.34
451354,189,4,2014,1.34
451354,234,4,2014,1.34
451354,270,4,2014,1.34
451354,264,4,2014,1.34
451354,244,4,2014,1.34
451354,210,4,2014,1.34
451354,159,4,2014,1.34
451354,237,4,2014,1.34
451354,195,4,2014,1.34
451354,277,4,2014,1.34
451354,310,4,2014,1.34
451354,241,4,2014,1.34
451354,273,4,2014,1.34
451354,238,4,2014,1.34
451354,215,4,2014,1.34
451354,207,4,2014,1.34
451354,210,4,2014,1.34
451354,238,4,2014,1.34
451354,153,4,2014,1.34
451354,174,4,2014,1.34
451354,105,4,2014,1.34
451355,239,4,2014,1.32
451355,220,4,2014,1.32
451356,313,4,2014,1.32
451356,260,4,2014,1.32
451356,263,4,2014,1.32
451356,367,4,2014,1.32
451356,255,4,2014,1.32
451356,264,4,2014,1.32
451356,265,4,2014,1.32
451356,261,4,2014,1.32
451356,277,4,2014,1.32
451356,275,4,2014,1.32
451356,195,4,2014,1.32
451356,212,4,2014,1.32
451356,213,4,2014,1.32
451356,274,4,2014,1.32
451356,264,4,2014,1.32
451356,174,4,2014,1.32
451356,270,4,2014,1.32
451356,278,4,2014,1.32
451356,278,4,2014,1.32
451356,298,4,2014,1.32
451356,268,4,2014,1.32
451356,241,4,2014,1.32
451356,235,4,2014,1.32
451356,330,4,2014,1.32
451356,170,4,2014,1.32
451356,266,4,2014,1.32
451356,328,4,2014,1.32
451356,245,4,2014,1.32
451356,275,4,2014,1.32
451356,277,4,2014,1.32
451356,240,4,2014,1.32
451356,234,4,2014,1.32
451356,258,4,2014,1.32
451356,248,4,2014,1.32
451356,214,4,2014,1.32
451356,176,4,2014,1.32
451357,268,4,2014,1.32
451357,217,4,2014,1.32
451357,157,4,2014,1.32
451358,150,4,2014,1.23
451359,382,4,2014,1.23
451359,325,4,2014,1.23
451359,326,4,2014,1.23
451359,295,4,2014,1.23
451359,324,4,2014,1.23
451359,207,4,2014,1.23
451360,290,4,2014,1.17
451361,239,4,2014,1.17
451361,295,4,2014,1.17
451364,130,4,2014,0.78
451365,96,4,2014,0.31
451366,157,4,2014,0.31
451370,87,4,2014,0.25
451371,95,4,2014,0.21
451371,114,4,2014,0.21
451372,97,4,2014,0.21
451374,201,4,2014,0.2
451374,215,4,2014,0.2
451374,161,4,2014,0.2
451374,126,4,2014,0.2
451374,118,4,2014,0.2
451375,214,4,2014,0.2
451375,105,4,2014,0.2
451376,112,4,2014,0.2
451377,115,4,2014,4.88
451377,115,4,2014,4.88
451377,128,4,2014,4.88
451377,112,4,2014,4.88
451377,112,4,2014,4.88
451378,185,4,2014,4.88
451378,196,4,2014,4.88
451378,126,4,2014,4.88
451378,175,4,2014,4.88
451379,376,4,2014,5.78
451380,365,4,2014,5.85
451380,336,4,2014,5.85
451380,304,4,2014,5.85
451380,230,4,2014,5.85
451380,315,4,2014,5.85
451380,288,4,2014,5.85
451380,235,4,2014,5.85
451380,118,4,2014,5.85
451381,326,4,2014,5.85
451381,197,4,2014,5.85
451381,201,4,2014,5.85
451381,117,4,2014,5.85
451382,357,4,2014,5.94
451383,304,4,2014,5.94
451388,272,4,2014,6.22
451388,267,4,2014,6.22
451388,180,4,2014,6.22
451389,108,4,2014,6.25
451389,103,4,2014,6.25
451389,116,4,2014,6.25
451389,120,4,2014,6.25
451389,120,4,2014,6.25
451389,96,4,2014,6.25
451389,105,4,2014,6.25
451389,120,4,2014,6.25
451389,115,4,2014,6.25
451389,108,4,2014,6.25
451389,105,4,2014,6.25
451389,105,4,2014,6.25
451389,93,4,2014,6.25
451389,136,4,2014,6.25
451389,116,4,2014,6.25
451389,115,4,2014,6.25
451389,122,4,2014,6.25
451389,112,4,2014,6.25
451389,112,4,2014,6.25
451389,110,4,2014,6.25
451390,110,4,2014,6.25
451391,303,4,2014,6.31
451391,365,4,2014,6.31
451391,290,4,2014,6.31
451391,299,4,2014,6.31
451391,297,4,2014,6.31
451391,302,4,2014,6.31
451391,316,4,2014,6.31
451391,323,4,2014,6.31
