"Plot Title: Salt-3_06-24-2016"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10641658, SEN S/N: 10641658)","Intensity, Lux (LGR S/N: 10641658, SEN S/N: 10641658)","Coupler Attached (LGR S/N: 10641658, SEN S/N: 10641658)","Host Connected (LGR S/N: 10641658, SEN S/N: 10641658)","Stopped (LGR S/N: 10641658, SEN S/N: 10641658)","End Of File (LGR S/N: 10641658, SEN S/N: 10641658)"
1,06/24/16 08:00:00 AM,26.488,32.3,,,,
2,06/24/16 08:05:00 AM,26.781,312.2,,,,
3,06/24/16 08:10:00 AM,27.370,0.0,,,,
4,06/24/16 08:15:00 AM,27.764,0.0,,,,
5,06/24/16 08:20:00 AM,28.159,0.0,,,,
6,06/24/16 08:25:00 AM,28.456,0.0,,,,
7,06/24/16 08:30:00 AM,28.555,32.3,,,,
8,06/24/16 08:35:00 AM,29.552,1980.6,,,,
9,06/24/16 08:40:00 AM,30.862,2238.9,,,,
10,06/24/16 08:45:00 AM,31.676,785.8,,,,
11,06/24/16 08:50:00 AM,32.497,9300.1,,,,
12,06/24/16 08:55:00 AM,36.403,39955.8,,,,
13,06/24/16 09:00:00 AM,34.479,5166.7,,,,
14,06/24/16 09:05:00 AM,24.931,14466.8,,,,
15,06/24/16 09:10:00 AM,22.429,15844.5,,,,
16,06/24/16 09:15:00 AM,22.333,17222.3,,,,
17,06/24/16 09:20:00 AM,22.333,17222.3,,,,
18,06/24/16 09:25:00 AM,22.429,17911.2,,,,
19,06/24/16 09:30:00 AM,22.525,18600.1,,,,
20,06/24/16 09:35:00 AM,22.429,16533.4,,,,
21,06/24/16 09:40:00 AM,22.621,18600.1,,,,
22,06/24/16 09:45:00 AM,22.717,19289.0,,,,
23,06/24/16 09:50:00 AM,22.812,19977.9,,,,
24,06/24/16 09:55:00 AM,22.812,20666.8,,,,
25,06/24/16 10:00:00 AM,22.908,20666.8,,,,
26,06/24/16 10:05:00 AM,22.908,20666.8,,,,
27,06/24/16 10:10:00 AM,23.004,20666.8,,,,
28,06/24/16 10:15:00 AM,22.908,20666.8,,,,
29,06/24/16 10:20:00 AM,22.908,20666.8,,,,
30,06/24/16 10:25:00 AM,23.004,22044.6,,,,
31,06/24/16 10:30:00 AM,23.100,22044.6,,,,
32,06/24/16 10:35:00 AM,23.196,22044.6,,,,
33,06/24/16 10:40:00 AM,23.292,22044.6,,,,
34,06/24/16 10:45:00 AM,23.292,22044.6,,,,
35,06/24/16 10:50:00 AM,23.388,22044.6,,,,
