"Plot Title: Boulders-4_06-24-2016"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10643646, SEN S/N: 10643646)","Intensity, Lux (LGR S/N: 10643646, SEN S/N: 10643646)","Coupler Attached (LGR S/N: 10643646, SEN S/N: 10643646)","Host Connected (LGR S/N: 10643646, SEN S/N: 10643646)","Stopped (LGR S/N: 10643646, SEN S/N: 10643646)","End Of File (LGR S/N: 10643646, SEN S/N: 10643646)"
1,06/24/16 08:00:00 AM,30.963,215.3,,,,
2,06/24/16 08:05:00 AM,31.370,215.3,,,,
3,06/24/16 08:10:00 AM,31.472,32.3,,,,
4,06/24/16 08:15:00 AM,31.574,441.3,,,,
5,06/24/16 08:20:00 AM,31.574,183.0,,,,
6,06/24/16 08:25:00 AM,31.574,183.0,,,,
7,06/24/16 08:30:00 AM,31.574,0.0,,,,
8,06/24/16 08:35:00 AM,31.983,0.0,,,,
9,06/24/16 08:40:00 AM,31.880,10.8,,,,
10,06/24/16 08:45:00 AM,31.880,0.0,,,,
11,06/24/16 08:50:00 AM,31.778,6544.5,,,,
12,06/24/16 08:55:00 AM,32.394,3616.7,,,,
13,06/24/16 09:00:00 AM,33.326,2927.8,,,,
14,06/24/16 09:05:00 AM,33.743,1194.8,,,,
15,06/24/16 09:10:00 AM,33.953,53.8,,,,
16,06/24/16 09:15:00 AM,33.953,495.1,,,,
17,06/24/16 09:20:00 AM,34.268,516.7,,,,
18,06/24/16 09:25:00 AM,34.585,527.4,,,,
19,06/24/16 09:30:00 AM,35.009,753.5,,,,
20,06/24/16 09:35:00 AM,35.115,333.7,,,,
21,06/24/16 09:40:00 AM,35.328,333.7,,,,
22,06/24/16 09:45:00 AM,35.542,333.7,,,,
23,06/24/16 09:50:00 AM,35.649,333.7,,,,
24,06/24/16 09:55:00 AM,35.756,333.7,,,,
25,06/24/16 10:00:00 AM,35.864,333.7,,,,
26,06/24/16 10:05:00 AM,35.971,344.4,,,,
27,06/24/16 10:10:00 AM,36.079,333.7,,,,
28,06/24/16 10:15:00 AM,36.079,333.7,,,,
29,06/24/16 10:20:00 AM,36.079,462.9,,,,
30,06/24/16 10:25:00 AM,35.756,269.1,,,,
31,06/24/16 10:30:00 AM,34.903,473.6,,,,
32,06/24/16 10:35:00 AM,34.058,333.7,,,,
33,06/24/16 10:40:00 AM,34.796,2066.7,,,,
34,06/24/16 10:45:00 AM,35.864,1894.5,,,,
35,06/24/16 10:50:00 AM,36.728,1550.0,,,,
36,06/24/16 10:55:00 AM,39.729,38578.0,,,,
37,06/24/16 11:00:00 AM,45.076,42711.4,,,,
38,06/24/16 11:05:00 AM,42.046,2755.6,,,,
39,06/24/16 11:10:00 AM,41.225,2755.6,,,,
40,06/24/16 11:15:00 AM,42.878,93689.5,,,,
41,06/24/16 11:20:00 AM,44.952,1894.5,,,,
42,06/24/16 11:25:00 AM,45.326,1291.7,,,,
43,06/24/16 11:30:00 AM,46.083,882.6,,,,
44,06/24/16 11:35:00 AM,46.722,1894.5,,,,
45,06/24/16 11:40:00 AM,47.109,3444.5,,,,
46,06/24/16 11:45:00 AM,45.956,2152.8,,,,
47,06/24/16 11:50:00 AM,46.465,2238.9,,,,
48,06/24/16 11:55:00 AM,46.979,1463.9,,,,
49,06/24/16 12:00:00 PM,47.238,1324.0,,,,
50,06/24/16 12:05:00 PM,47.629,1377.8,,,,
51,06/24/16 12:10:00 PM,47.499,1550.0,,,,
52,06/24/16 12:15:00 PM,47.368,15844.5,,,,
53,06/24/16 12:20:00 PM,46.083,839.6,,,,
54,06/24/16 12:25:00 PM,45.452,775.0,,,,
55,06/24/16 12:30:00 PM,46.979,2152.8,,,,
56,06/24/16 12:35:00 PM,45.829,2755.6,,,,
57,06/24/16 12:40:00 PM,46.337,1894.5,,,,
58,06/24/16 12:45:00 PM,48.155,2583.4,,,,
59,06/24/16 12:50:00 PM,50.734,2755.6,,,,
60,06/24/16 12:55:00 PM,50.874,5338.9,,,,
61,06/24/16 01:00:00 PM,48.955,1550.0,,,,
62,06/24/16 01:05:00 PM,48.821,79911.6,,,,
63,06/24/16 01:10:00 PM,45.829,2066.7,,,,
64,06/24/16 01:15:00 PM,44.457,645.8,,,,
65,06/24/16 01:20:00 PM,45.076,624.3,,,,
66,06/24/16 01:25:00 PM,45.452,1377.8,,,,
67,06/24/16 01:30:00 PM,45.326,871.9,,,,
68,06/24/16 01:35:00 PM,45.326,592.0,,,,
69,06/24/16 01:40:00 PM,45.829,731.9,,,,
70,06/24/16 01:45:00 PM,45.956,366.0,,,,
71,06/24/16 01:50:00 PM,48.023,258.3,,,,
72,06/24/16 01:55:00 PM,48.421,1550.0,,,,
73,06/24/16 02:00:00 PM,46.722,118.4,,,,
74,06/24/16 02:05:00 PM,45.829,107.6,,,,
75,06/24/16 02:10:00 PM,44.334,3788.9,,,,
76,06/24/16 02:15:00 PM,44.828,3100.0,,,,
77,06/24/16 02:20:00 PM,45.703,2152.8,,,,
78,06/24/16 02:25:00 PM,46.083,1636.1,,,,
79,06/24/16 02:30:00 PM,46.465,1636.1,,,,
80,06/24/16 02:35:00 PM,46.979,2411.1,,,,
81,06/24/16 02:40:00 PM,47.629,1205.6,,,,
82,06/24/16 02:45:00 PM,48.023,1463.9,,,,
83,06/24/16 02:50:00 PM,48.155,2238.9,,,,
