"Plot Title: LCR_Rkm_16.0_2015-06-25"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10643645, SEN S/N: 10643645)","Intensity, Lux (LGR S/N: 10643645, SEN S/N: 10643645)","End Of File (LGR S/N: 10643645, SEN S/N: 10643645)"
1,06/25/15 08:00:00 AM,35.115,16533.4,
2,06/25/15 08:05:00 AM,33.222,5166.7,
3,06/25/15 08:10:00 AM,32.291,6200.0,
4,06/25/15 08:15:00 AM,31.778,6544.5,
5,06/25/15 08:20:00 AM,31.574,7233.4,
6,06/25/15 08:25:00 AM,31.574,7233.4,
7,06/25/15 08:30:00 AM,31.676,193.8,
8,06/25/15 08:35:00 AM,31.370,0.0,
9,06/25/15 08:40:00 AM,31.472,7577.8,
10,06/25/15 08:45:00 AM,31.880,1130.2,
11,06/25/15 08:50:00 AM,31.880,1054.9,
12,06/25/15 08:55:00 AM,31.880,1377.8,
13,06/25/15 09:00:00 AM,32.188,1334.7,
14,06/25/15 09:05:00 AM,32.704,1377.8,
15,06/25/15 09:10:00 AM,33.014,1324.0,
16,06/25/15 09:15:00 AM,33.639,1463.9,
17,06/25/15 09:20:00 AM,33.953,3100.0,
18,06/25/15 09:25:00 AM,34.163,3788.9,
19,06/25/15 09:30:00 AM,34.796,20666.8,
20,06/25/15 09:35:00 AM,36.187,23422.4,
21,06/25/15 09:40:00 AM,37.274,21.5,
22,06/25/15 09:45:00 AM,36.511,21.5,
23,06/25/15 09:50:00 AM,35.971,32.3,
24,06/25/15 09:55:00 AM,35.542,75.3,
25,06/25/15 10:00:00 AM,35.328,32.3,
26,06/25/15 10:05:00 AM,35.115,0.0,
27,06/25/15 10:10:00 AM,34.903,21.5,
28,06/25/15 10:15:00 AM,34.691,10.8,
29,06/25/15 10:20:00 AM,34.585,0.0,
30,06/25/15 10:25:00 AM,34.268,96.9,
31,06/25/15 10:30:00 AM,34.268,21.5,
32,06/25/15 10:35:00 AM,34.268,0.0,
33,06/25/15 10:40:00 AM,34.268,0.0,
34,06/25/15 10:45:00 AM,34.163,0.0,
35,06/25/15 10:50:00 AM,34.163,0.0,
36,06/25/15 10:55:00 AM,34.058,0.0,
37,06/25/15 11:00:00 AM,34.058,0.0,
38,06/25/15 11:05:00 AM,33.953,247.6,
39,06/25/15 11:10:00 AM,34.163,1550.0,
40,06/25/15 11:15:00 AM,34.903,796.5,
41,06/25/15 11:20:00 AM,35.435,861.1,
42,06/25/15 11:25:00 AM,35.649,775.0,
43,06/25/15 11:30:00 AM,35.649,1173.3,
44,06/25/15 11:35:00 AM,35.542,247.6,
45,06/25/15 11:40:00 AM,37.604,14466.8,
46,06/25/15 11:45:00 AM,36.728,1980.6,
47,06/25/15 11:50:00 AM,37.055,1636.1,
48,06/25/15 11:55:00 AM,37.714,1722.2,
49,06/25/15 12:00:00 PM,38.490,3444.5,
50,06/25/15 12:05:00 PM,39.276,5338.9,
51,06/25/15 12:10:00 PM,39.729,4133.4,
52,06/25/15 12:15:00 PM,39.729,9644.5,
53,06/25/15 12:20:00 PM,39.843,538.2,
54,06/25/15 12:25:00 PM,39.957,6544.5,
55,06/25/15 12:30:00 PM,40.071,8266.7,
56,06/25/15 12:35:00 PM,40.185,1377.8,
57,06/25/15 12:40:00 PM,40.992,678.1,
58,06/25/15 12:45:00 PM,41.225,1001.0,
59,06/25/15 12:50:00 PM,41.341,785.8,
60,06/25/15 12:55:00 PM,41.341,742.7,
61,06/25/15 01:00:00 PM,41.575,850.4,
62,06/25/15 01:05:00 PM,42.046,645.8,
63,06/25/15 01:10:00 PM,42.639,656.6,
64,06/25/15 01:15:00 PM,42.998,667.4,
65,06/25/15 01:20:00 PM,43.359,2497.2,
66,06/25/15 01:25:00 PM,45.076,430.6,
67,06/25/15 01:30:00 PM,46.083,721.2,
68,06/25/15 01:35:00 PM,45.956,18600.1,
69,06/25/15 01:40:00 PM,50.595,209423.6,
70,06/25/15 01:45:00 PM,52.873,209423.6,
71,06/25/15 01:50:00 PM,53.609,209423.6,
72,06/25/15 01:55:00 PM,55.117,209423.6,
73,06/25/15 02:00:00 PM,54.811,82667.2,
74,06/25/15 02:05:00 PM,50.042,26178.0,
75,06/25/15 02:10:00 PM,51.720,198401.3,
76,06/25/15 02:15:00 PM,54.056,198401.3,
77,06/25/15 02:20:00 PM,54.356,198401.3,
78,06/25/15 02:25:00 PM,50.042,198401.3,
79,06/25/15 02:30:00 PM,52.582,49600.3,
80,06/25/15 02:35:00 PM,53.609,198401.3,
81,06/25/15 02:40:00 PM,55.271,187379.0,
82,06/25/15 02:45:00 PM,54.659,187379.0,
83,06/25/15 02:50:00 PM,55.891,187379.0,
84,06/25/15 02:55:00 PM,55.580,187379.0,
85,06/25/15 03:00:00 PM,56.679,176356.7,
86,06/25/15 03:05:00 PM,50.456,15844.5,
87,06/25/15 03:10:00 PM,43.118,10333.4,
88,06/25/15 03:15:00 PM,39.502,9300.1,
89,06/25/15 03:20:00 PM,37.274,10677.8,
90,06/25/15 03:25:00 PM,36.295,9300.1,
91,06/25/15 03:30:00 PM,36.079,8611.2,
92,06/25/15 03:35:00 PM,35.542,8611.2,
93,06/25/15 03:40:00 PM,34.691,8266.7,
94,06/25/15 03:45:00 PM,35.222,9300.1,
95,06/25/15 03:50:00 PM,35.328,8266.7,
96,06/25/15 03:55:00 PM,35.328,8266.7,
97,06/25/15 04:00:00 PM,35.222,8266.7,
98,06/25/15 04:05:00 PM,35.009,8266.7,
99,06/25/15 04:10:00 PM,34.691,8266.7,
100,06/25/15 04:15:00 PM,33.743,8266.7,
101,06/25/15 04:20:00 PM,33.430,8611.2,
102,06/25/15 04:25:00 PM,33.848,7577.8,
103,06/25/15 04:30:00 PM,34.374,7577.8,
104,06/25/15 04:35:00 PM,34.479,6544.5,
105,06/25/15 04:40:00 PM,33.953,6544.5,
106,06/25/15 04:45:00 PM,33.953,5511.1,
107,06/25/15 04:50:00 PM,33.118,5166.7,
108,06/25/15 04:55:00 PM,32.394,4650.0,
109,06/25/15 05:00:00 PM,32.188,4133.4,
110,06/25/15 05:05:00 PM,32.086,3961.1,
111,06/25/15 05:10:00 PM,32.600,3788.9,
112,06/25/15 05:15:00 PM,32.600,3788.9,
113,06/25/15 05:20:00 PM,31.778,3616.7,
114,06/25/15 05:25:00 PM,30.862,3616.7,
115,06/25/15 05:30:00 PM,30.558,3272.2,
116,06/25/15 05:35:00 PM,30.154,3272.2,
117,06/25/15 05:40:00 PM,29.853,3272.2,
118,06/25/15 05:45:00 PM,29.552,3100.0,
119,06/25/15 05:50:00 PM,28.853,2755.6,
120,06/25/15 05:55:00 PM,29.152,2238.9,
121,06/25/15 06:00:00 PM,29.252,2066.7,
122,06/25/15 06:05:00 PM,28.853,2066.7,
123,06/25/15 06:10:00 PM,28.258,2152.8,
124,06/25/15 06:15:00 PM,28.754,2152.8,
125,06/25/15 06:20:00 PM,28.357,2152.8,
126,06/25/15 06:25:00 PM,28.258,2066.7,
127,06/25/15 06:30:00 PM,28.357,1980.6,
128,06/25/15 06:35:00 PM,28.357,1980.6,
129,06/25/15 06:40:00 PM,28.357,1894.5,
130,06/25/15 06:45:00 PM,27.862,1808.3,
131,06/25/15 06:50:00 PM,28.060,1636.1,
132,06/25/15 06:55:00 PM,28.357,1550.0,
133,06/25/15 07:00:00 PM,27.862,1377.8,
134,06/25/15 07:05:00 PM,27.665,1334.7,
135,06/25/15 07:10:00 PM,27.665,1227.1,
136,06/25/15 07:15:00 PM,27.665,1097.9,
137,06/25/15 07:20:00 PM,27.370,958.0,
138,06/25/15 07:25:00 PM,27.075,828.8,
139,06/25/15 07:30:00 PM,27.075,678.1,
140,06/25/15 07:35:00 PM,27.567,549.0,
141,06/25/15 07:40:00 PM,27.764,409.0,
142,06/25/15 07:45:00 PM,28.555,279.9,
143,06/25/15 07:50:00 PM,28.754,172.2,
144,06/25/15 07:55:00 PM,27.961,96.9,
145,06/25/15 08:00:00 PM,29.152,43.1,
146,06/25/15 08:05:00 PM,30.659,10.8,
147,06/25/15 08:10:00 PM,30.054,0.0,
148,06/25/15 08:15:00 PM,28.953,0.0,
149,06/25/15 08:20:00 PM,28.754,0.0,
150,06/25/15 08:25:00 PM,28.357,0.0,
151,06/25/15 08:30:00 PM,28.060,0.0,
152,06/25/15 08:35:00 PM,28.357,0.0,
153,06/25/15 08:40:00 PM,28.853,0.0,
154,06/25/15 08:45:00 PM,30.054,0.0,
155,06/25/15 08:50:00 PM,30.659,0.0,
156,06/25/15 08:55:00 PM,29.853,0.0,
157,06/25/15 09:00:00 PM,30.760,0.0,
158,06/25/15 09:05:00 PM,31.370,0.0,
159,06/25/15 09:10:00 PM,31.064,0.0,
160,06/25/15 09:15:00 PM,30.862,0.0,
161,06/25/15 09:20:00 PM,31.064,0.0,
162,06/25/15 09:25:00 PM,30.862,0.0,
163,06/25/15 09:30:00 PM,30.558,0.0,
164,06/25/15 09:35:00 PM,29.953,0.0,
165,06/25/15 09:40:00 PM,29.552,0.0,
166,06/25/15 09:45:00 PM,29.053,0.0,
167,06/25/15 09:50:00 PM,27.764,0.0,
168,06/25/15 09:55:00 PM,27.370,0.0,
169,06/25/15 10:00:00 PM,26.977,0.0,
170,06/25/15 10:05:00 PM,26.977,0.0,
171,06/25/15 10:10:00 PM,26.879,0.0,
172,06/25/15 10:15:00 PM,26.488,0.0,
173,06/25/15 10:20:00 PM,26.097,0.0,
174,06/25/15 10:25:00 PM,25.708,0.0,
175,06/25/15 10:30:00 PM,26.488,0.0,
176,06/25/15 10:35:00 PM,27.961,0.0,
177,06/25/15 10:40:00 PM,28.853,0.0,
178,06/25/15 10:45:00 PM,29.152,0.0,
179,06/25/15 10:50:00 PM,29.352,0.0,
180,06/25/15 10:55:00 PM,29.652,0.0,
181,06/25/15 11:00:00 PM,29.352,0.0,
182,06/25/15 11:05:00 PM,29.352,0.0,
183,06/25/15 11:10:00 PM,29.152,0.0,
184,06/25/15 11:15:00 PM,28.357,0.0,
185,06/25/15 11:20:00 PM,26.977,0.0,
186,06/25/15 11:25:00 PM,26.292,0.0,
187,06/25/15 11:30:00 PM,26.000,0.0,
188,06/25/15 11:35:00 PM,25.610,0.0,
189,06/25/15 11:40:00 PM,26.195,0.0,
190,06/25/15 11:45:00 PM,25.805,0.0,
191,06/25/15 11:50:00 PM,25.319,0.0,
192,06/25/15 11:55:00 PM,24.931,0.0,
193,06/26/15 12:00:00 AM,24.835,0.0,
194,06/26/15 12:05:00 AM,24.545,0.0,
195,06/26/15 12:10:00 AM,24.641,0.0,
196,06/26/15 12:15:00 AM,24.738,0.0,
197,06/26/15 12:20:00 AM,24.931,0.0,
198,06/26/15 12:25:00 AM,24.931,0.0,
199,06/26/15 12:30:00 AM,24.931,0.0,
200,06/26/15 12:35:00 AM,24.545,0.0,
201,06/26/15 12:40:00 AM,24.545,0.0,
202,06/26/15 12:45:00 AM,24.835,0.0,
203,06/26/15 12:50:00 AM,26.000,0.0,
204,06/26/15 12:55:00 AM,25.902,0.0,
205,06/26/15 01:00:00 AM,25.416,0.0,
206,06/26/15 01:05:00 AM,25.513,0.0,
207,06/26/15 01:10:00 AM,26.977,0.0,
208,06/26/15 01:15:00 AM,27.075,0.0,
209,06/26/15 01:20:00 AM,26.879,0.0,
210,06/26/15 01:25:00 AM,26.977,0.0,
211,06/26/15 01:30:00 AM,26.488,0.0,
212,06/26/15 01:35:00 AM,25.902,0.0,
213,06/26/15 01:40:00 AM,25.610,0.0,
214,06/26/15 01:45:00 AM,24.931,0.0,
215,06/26/15 01:50:00 AM,24.835,0.0,
216,06/26/15 01:55:00 AM,24.545,0.0,
217,06/26/15 02:00:00 AM,24.351,0.0,
218,06/26/15 02:05:00 AM,24.158,0.0,
219,06/26/15 02:10:00 AM,23.966,0.0,
220,06/26/15 02:15:00 AM,23.869,0.0,
221,06/26/15 02:20:00 AM,23.677,0.0,
222,06/26/15 02:25:00 AM,23.677,0.0,
223,06/26/15 02:30:00 AM,23.677,0.0,
224,06/26/15 02:35:00 AM,23.773,0.0,
225,06/26/15 02:40:00 AM,23.966,0.0,
226,06/26/15 02:45:00 AM,24.062,0.0,
227,06/26/15 02:50:00 AM,23.966,0.0,
228,06/26/15 02:55:00 AM,24.255,0.0,
229,06/26/15 03:00:00 AM,24.835,0.0,
230,06/26/15 03:05:00 AM,25.222,0.0,
231,06/26/15 03:10:00 AM,25.125,0.0,
232,06/26/15 03:15:00 AM,25.028,0.0,
233,06/26/15 03:20:00 AM,24.448,0.0,
234,06/26/15 03:25:00 AM,24.062,0.0,
235,06/26/15 03:30:00 AM,23.869,0.0,
236,06/26/15 03:35:00 AM,24.062,0.0,
237,06/26/15 03:40:00 AM,23.677,0.0,
238,06/26/15 03:45:00 AM,23.677,0.0,
239,06/26/15 03:50:00 AM,23.581,0.0,
240,06/26/15 03:55:00 AM,23.484,0.0,
241,06/26/15 04:00:00 AM,23.677,0.0,
242,06/26/15 04:05:00 AM,23.773,0.0,
243,06/26/15 04:10:00 AM,23.581,0.0,
244,06/26/15 04:15:00 AM,23.484,0.0,
245,06/26/15 04:20:00 AM,23.773,0.0,
